"Date","Event","Data"
,LogSequenceNumber,RTCid = [20] - Time = [01/01/1970 00:00:00] - Seq. = [5]
,LogCleared,LogClearOnPowerUp
,LogNewRTCID,RTCid = [21] - Time = [01/01/1970 00:00:00]
1/1/1970 12:00:01 AM,LogPorReset
1/1/1970 12:00:02 AM,LogDailyBattMeas,2.86 V
1/1/1970 12:00:02 AM,LogDailyTherapyTime,0 sec
1/1/1970 12:00:02 AM,LogTotalIpgTherapyTime,0 sec
1/1/1970 12:00:02 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
1/1/1970 12:04:12 AM,LogNewRTCID,RTCid = [22] - Time = [01/01/1970 00:04:12]
9/24/2024 1:39:30 PM,LogSetTime
9/24/2024 1:39:30 PM,LogDailyBattMeas,2.86 V
9/24/2024 1:39:30 PM,LogDailyTherapyTime,0 sec
9/24/2024 1:39:30 PM,LogTotalIpgTherapyTime,0 sec
9/24/2024 1:39:30 PM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
9/24/2024 1:39:30 PM,LogDailyImpedanceMeas,LeadImpedance = [5146 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
9/25/2024 12:00:00 AM,LogDailyBattMeas,2.84 V
9/25/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
9/25/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
9/25/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
9/25/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5073 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
9/26/2024 12:00:00 AM,LogDailyBattMeas,2.84 V
9/26/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
9/26/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
9/26/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
9/26/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5156 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
9/26/2024 2:58:27 PM,LogProgramming,Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - TherapyPauseMode = [Enabled] - GyroscopeMode = [Enabled] - PhasicTime = [2.0 sec] - TherapyRate = [15] bpm - RiseTime = [0.1] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [1.00 mA] - OnsetRampTime = [10 min] - EndingRampTime = [0 min] - PulseWidth = [152.5 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [61.0 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [360] min - TherapyDelay = [15 min] - TherapyPause = [8 min] - MaxPhasicAmplitude = [1.40 mA] - MinPhasicAmplitude = [0.90 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - IMUSamplingRate = [50 Hz] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]
9/26/2024 2:58:30 PM,LogPositionChange,Posture = [Standing]
9/26/2024 2:58:33 PM,LogStartMarkerSession
9/26/2024 2:59:02 PM,LogStopMarkerSession
9/26/2024 2:59:11 PM,LogPositionChange,Posture = [Active]
9/26/2024 2:59:15 PM,LogPositionChange,Posture = [Reclined]
9/26/2024 2:59:17 PM,LogStartMarkerSession
9/26/2024 3:00:20 PM,LogStopMarkerSession
9/26/2024 3:00:44 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:00:59 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:01:06 PM,LogPositionChange,Posture = [Reclined]
9/26/2024 3:01:12 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:01:16 PM,LogPositionChange,Posture = [Reclined]
9/26/2024 3:01:22 PM,LogStartMarkerSession
9/26/2024 3:02:26 PM,LogStopMarkerSession
9/26/2024 3:02:32 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:02:38 PM,LogPositionChange,Posture = [Standing]
9/26/2024 3:02:44 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:08:17 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:08:41 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:09:00 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:09:11 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:09:35 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:09:45 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:09:54 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:09:58 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:10:11 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:10:17 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:10:20 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:10:28 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:21:30 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:21:47 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:22:57 PM,LogStartMarkerSession
9/26/2024 3:23:43 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:23:47 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:23:52 PM,LogPositionChange,Posture = [RightLateral]
9/26/2024 3:24:04 PM,LogPositionChange,Posture = [Reclined]
9/26/2024 3:24:14 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:25:08 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:25:11 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:25:37 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:25:44 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:26:29 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:26:37 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:27:19 PM,LogStopMarkerSession
9/26/2024 3:28:58 PM,LogAccelPatCalibration,R00 = [256] - R01 = [0] - R02 = [0] - R10 = [0] - R11 = [256] - R12 = [0] - R20 = [0] - R21 = [0] - R22 = [256]
9/26/2024 3:29:38 PM,LogStartMarkerSession
9/26/2024 3:30:02 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:30:15 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:30:27 PM,LogPositionChange,Posture = [Reclined]
9/26/2024 3:30:39 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:30:47 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:31:29 PM,LogPositionChange,Posture = [Standing]
9/26/2024 3:31:33 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:31:38 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:33:24 PM,LogTranstImpedMeasByOrder,Transt. Impedance = [10.41 Ohms] - Transt. Imped. Pulse Term. = [0]
9/26/2024 3:33:25 PM,LogTranstImpedMeasByOrder,Transt. Impedance = [10.41 Ohms] - Transt. Imped. Pulse Term. = [0]
9/26/2024 3:33:26 PM,LogTranstImpedMeasByOrder,Transt. Impedance = [10.41 Ohms] - Transt. Imped. Pulse Term. = [0]
9/26/2024 3:34:31 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:35:42 PM,LogStopMarkerSession
9/26/2024 3:36:00 PM,LogStartMarkerSession
9/26/2024 3:37:08 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:37:52 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:38:26 PM,LogPositionChange,Posture = [Prone]
9/26/2024 3:39:22 PM,LogPositionChange,Posture = [Active]
9/26/2024 3:39:25 PM,LogPositionChange,Posture = [Supine]
9/26/2024 3:40:24 PM,LogStopMarkerSession
9/27/2024 12:00:00 AM,LogDailyBattMeas,2.85 V
9/27/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
9/27/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
9/27/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [139 sec] - Standing = [51 sec] - Reclined = [193 sec] - Lying = [0 sec] - Supine = [30659 sec] - Prone = [1436 sec] - RightLateral = [12 sec] - LeftLateral = [0 sec]
9/27/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5269 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
9/28/2024 12:00:00 AM,LogDailyBattMeas,2.85 V
9/28/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
9/28/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
9/28/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [86400 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
9/28/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5231 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
9/29/2024 12:00:00 AM,LogDailyBattMeas,2.85 V
9/29/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
9/29/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
9/29/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [86400 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
9/29/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5238 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
9/30/2024 12:00:00 AM,LogDailyBattMeas,2.85 V
9/30/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
9/30/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
9/30/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [86400 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
